"Navigate","Next","⌘.","In Windows","org.eclipse.ui.navigate.next"
"Navigate","Go To Previous Unread Task","⌥↑","In Tasks View","org.eclipse.mylyn.tasks.ui.command.goToPreviousUnread"
"Text Editing","To Upper Case","⇧⌘X","Editing Text","org.eclipse.ui.edit.text.upperCase"
"LiClipse Actions","Go to Matching Bracket","⇧⌘P","LiClipse editor","org.brainwy.liclipsetext.editor.handlers.GoToMatchingBracket"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context","org.eclipse.mylyn.wikitext.ui.quickOutlineCommand"
"Text Editing","Zoom Out","⌘-","Editing Text","org.eclipse.ui.edit.text.zoomOut"
"Edit","Delete","⌫","Vaadin Designer Context","org.eclipse.ui.edit.delete"
"Source","Add Block Comment","⌃⌘/","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.add.block.comment"
"Source","Format","⇧⌘F","Editing Ant Buildfiles","org.eclipse.jdt.ui.edit.text.java.format"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows","org.eclipse.ui.views.showView"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View","org.eclipse.debug.ui.commands.addMemoryMonitor"
"Window","Previous Editor","⇧⌘Tab","In Windows","org.eclipse.ui.window.previousEditor"
"Edit","Add Maven Plugin","⌃⇧P","Editing XML Source","org.eclipse.m2e.core.ui.command.addPlugin"
"Task Repositories","Mark Task Complete","⌥⇧C","In Tasks View","org.eclipse.mylyn.tasks.ui.command.markTaskComplete"
"Source","Format","⇧⌘F","Editing Java Source","org.eclipse.jdt.ui.edit.text.java.format"
"Source","Toggle Comment","⌘7","Editing Properties Files","org.eclipse.jdt.ui.edit.text.java.toggle.comment"
"Text Editing","Open Hyperlink","F3","in Generic Code Editor","org.eclipse.ui.edit.text.open.hyperlink"
"Text Editing","To Lower Case","⇧⌘Y","Editing Text","org.eclipse.ui.edit.text.lowerCase"
"Text Editing","Text Start","↖","Editing Text","org.eclipse.ui.edit.text.goto.textStart"
"Spring Generic Text Editor","Toggle Comment","⇧⌘C","Editing Text","org.springframework.tooling.boot.ls.ToggleComment"
"Edit","Find Next","⌘K","Editing Text","org.eclipse.ui.edit.findNext"
"Edit","Matching Tag","⌃⇧.","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.gotoMatchingTag"
"Run/Debug","Debug Ant Build","⌃⌥⌘D Q","In Windows","org.eclipse.ant.ui.antShortcut.debug"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source","org.eclipse.jdt.ui.correction.assignToField.assist"
"Search","References in Workspace","⇧⌘G","In Windows","org.eclipse.jdt.ui.edit.text.java.search.references.in.workspace"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors","org.eclipse.wst.xml.ui.gotoMatchingTag"
"Text Editing","Delete Next Word","⌥⌦","Editing Text","org.eclipse.ui.edit.text.deleteNextWord"
"File","Save All","⇧⌘S","In Windows","org.eclipse.ui.file.saveAll"
"Text Editing","Line End","⌃E","Editing Text","org.eclipse.ui.edit.text.goto.lineEnd"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles","org.eclipse.ant.ui.renameInFile"
"Window","Next Editor","⌘Tab","In Windows","org.eclipse.ui.window.nextEditor"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering","org.eclipse.debug.ui.command.prevpage"
"LiClipse Actions","Quick Outline","⌘O","LiClipse editor","org.brainwy.liclipsetext.editor.handlers.QuickOutline"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.goto.matching.bracket"
"Edit","Select Previous Element","⌃⇧←","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.edit.text.java.select.previous"
"Window","Previous View","⇧⌘F7","In Windows","org.eclipse.ui.window.previousView"
"Uncategorized","Find References","⇧⌘G","in Generic Code Editor","org.eclipse.ui.genericeditor.findReferences"
"Navigate","Show In...","⌥⌘W","In Windows","org.eclipse.ui.navigate.showInQuickMenu"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text","org.eclipse.ui.edit.text.smartEnter"
"Server","Stop","⌥⌘S","In Servers View","org.eclipse.wst.server.stop"
"Navigate","Quick Outline","⌘O","WikiText Markup Source Context","org.eclipse.mylyn.wikitext.ui.quickOutlineCommand"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows","org.eclipse.ant.ui.antShortcut.run"
"Navigate","Backward History","⌥⌘←","In Windows","org.eclipse.ui.navigate.backwardHistory"
"File","Rename","F2","In Windows","org.eclipse.ui.edit.rename"
"Uncategorized","Show Markup Cheat Sheet","F1","WikiText Markup Source Context","org.eclipse.mylyn.wikitext.ui.editor.showCheatSheetCommand"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.format.active.elements"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors","org.eclipse.wst.sse.ui.add.block.comment"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source","org.eclipse.wst.jsdt.ui.navigate.open.type"
"LiClipse Actions","Toggle Comment","⌘/","LiClipse editor","org.brainwy.liclipsetext.editor.handlers.ToggleComment"
"Navigate","Next Page","⌥F7","In Windows","org.eclipse.ui.part.nextPage"
"Inline Search","Show Inline Search","⌘F","Editing Text","com.genuitec.eclipse.inlinesearch.commands.showFindReplaceBarCommand"
"File","Move...","⌥⌘V","Project Explorer +","org.eclipse.ui.edit.move"
"Focused UI","Focus on Active Task","⌥⇧H","In Windows","org.eclipse.mylyn.context.ui.commands.toggle.focus.active.view"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows","org.eclipse.jdt.ui.edit.text.java.move.element"
"Views","Show View (Search)","⌥⌘Q S","In Windows","org.eclipse.ui.views.showView"
"Edit","Copy","⌘C","In Dialogs and Windows","org.eclipse.ui.edit.copy"
"Edit","Find and Replace","⌘F","In Windows","org.eclipse.ui.edit.findReplace"
"Navigate","Last Edit Location","⌃Q","In Windows","org.eclipse.ui.edit.text.gotoLastEditPosition"
"Text Editing","Show Tooltip Description","F2","Editing Text","org.eclipse.ui.edit.text.showInformation"
"Run/Debug","Coverage TestNG Suite","⌥⇧E G","In Windows","org.eclipse.eclemma.ui.testNgSuiteShortcut.coverage"
"File","Properties","⌥↩","In Windows","org.eclipse.ui.file.properties"
